"PlateID_well","Silo_Replicate","Field_Replicate","Assay_Replicate","Immune_Priming","Heat_Priming","Assay_Temp","4HR","6HR","8HR","10HR","12HR","14HR","16HR","18HR","20HR","22HR","24HR","26HR","28HR","29.5HR","36HR","42HR"
"WC-CC1-40_A2",1,"A","WC-CC1-40","No","No","40C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"WC-CC1-40_A3",1,"A","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"WC-CC1-40_A4",1,"A","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"WC-CC1-40_A5",1,"A","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"WC-CC1-40_B2",1,"A","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"WC-CC1-40_B3",1,"A","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"WC-CC1-40_B4",1,"A","WC-CC1-40","No","No","40C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"WC-CC1-40_B5",1,"A","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"WC-CC1-40_C2",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"WC-CC1-40_C3",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"WC-CC1-40_C4",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"WC-CC1-40_C5",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"WC-CC1-40_D2",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"WC-CC1-40_D3",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"WC-CC1-40_D4",1,"B","WC-CC1-40","No","No","40C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
