plate_ID,plate_rep,temperature,plate_well,is_blank,area_mm2.measurement,imageJ_ID,fieldrep_ID,treatment_group,sample_id_group,exclude_from_analysis,exclude_reason
APC-CC1-26,CC1,26,A1,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,A2,FALSE,26.815,4,A,CC,CCA4,1,DOA
APC-CC1-26,CC1,26,A3,FALSE,57.513,3,A,CC,CCA3,,
APC-CC1-26,CC1,26,A4,FALSE,30.943,2,A,CC,CCA2,1,DOA
APC-CC1-26,CC1,26,A5,FALSE,51.399,1,A,CC,CCA1,,
APC-CC1-26,CC1,26,A6,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,B1,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,B2,FALSE,40.552,8,A,CC,CCA8,1,DOA
APC-CC1-26,CC1,26,B3,FALSE,102.812,6,A,CC,CCA6,,
APC-CC1-26,CC1,26,B4,FALSE,61.176,7,A,CC,CCA7,1,DOA
APC-CC1-26,CC1,26,B5,FALSE,107.249,5,A,CC,CCA5,,
APC-CC1-26,CC1,26,B6,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,C1,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,C2,FALSE,69.315,12,B,CC,CCB12,,
APC-CC1-26,CC1,26,C3,FALSE,37.353,11,B,CC,CCB11,,
APC-CC1-26,CC1,26,C4,FALSE,20.508,9,A,CC,CCA9,,
APC-CC1-26,CC1,26,C5,FALSE,67.355,10,A,CC,CCA10,,
APC-CC1-26,CC1,26,C6,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,D1,TRUE,,,,CC,CC,,
APC-CC1-26,CC1,26,D2,FALSE,28.66,16,B,CC,CCB16,,
APC-CC1-26,CC1,26,D3,FALSE,66.839,15,B,CC,CCB15,,
APC-CC1-26,CC1,26,D4,FALSE,67.6,14,B,CC,CCB14,,
APC-CC1-26,CC1,26,D5,FALSE,54.482,13,B,CC,CCB13,,
APC-CC1-26,CC1,26,D6,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,A1,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,A2,FALSE,76.91,4,C,CC,CCC4,,
APC-CC2-26,CC2,26,A3,FALSE,99.158,3,C,CC,CCC3,,
APC-CC2-26,CC2,26,A4,FALSE,59.553,2,C,CC,CCC2,,
APC-CC2-26,CC2,26,A5,FALSE,76.594,1,C,CC,CCC1,,
APC-CC2-26,CC2,26,A6,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,B1,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,B2,FALSE,59.04,8,C,CC,CCC8,,
APC-CC2-26,CC2,26,B3,FALSE,70.664,6,C,CC,CCC6,1,DOA
APC-CC2-26,CC2,26,B4,FALSE,35.884,7,C,CC,CCC7,,
APC-CC2-26,CC2,26,B5,FALSE,37.304,5,C,CC,CCC5,,
APC-CC2-26,CC2,26,B6,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,C1,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,C2,FALSE,62.63,11,D,CC,CCD11,1,DOA
APC-CC2-26,CC2,26,C3,FALSE,37.751,12,D,CC,CCD12,,
APC-CC2-26,CC2,26,C4,FALSE,64.089,10,D,CC,CCD10,1,DOA
APC-CC2-26,CC2,26,C5,FALSE,34.057,9,D,CC,CCD9,1,DOA
APC-CC2-26,CC2,26,C6,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,D1,TRUE,,,,CC,CC,,
APC-CC2-26,CC2,26,D2,FALSE,31.716,16,D,CC,CCD16,,
APC-CC2-26,CC2,26,D3,FALSE,43.327,15,D,CC,CCD15,1,DOA
APC-CC2-26,CC2,26,D4,FALSE,63.945,13,D,CC,CCD13,,
APC-CC2-26,CC2,26,D5,FALSE,26.89,14,D,CC,CCD14,1,DOA
APC-CC2-26,CC2,26,D6,TRUE,,,,CC,CC,,
APC-CP1-26,CP1,26,A1,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,A2,FALSE,17.059,4,A,CP,CPA4,,
APC-CP1-26,CP1,26,A3,FALSE,69.095,1,A,CP,CPA1,,
APC-CP1-26,CP1,26,A4,FALSE,17.418,2,A,CP,CPA2,1,DOA
APC-CP1-26,CP1,26,A5,FALSE,55.278,3,A,CP,CPA3,,
APC-CP1-26,CP1,26,A6,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,B1,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,B2,FALSE,14.863,9,A,CP,CPA9,,
APC-CP1-26,CP1,26,B3,FALSE,88.322,7,A,CP,CPA7,,
APC-CP1-26,CP1,26,B4,FALSE,38.605,6,A,CP,CPA6,,
APC-CP1-26,CP1,26,B5,FALSE,33.214,8,D,CP,CPD8,,
APC-CP1-26,CP1,26,B6,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,C1,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,C2,FALSE,51.631,12,B,CP,CPB12,,
APC-CP1-26,CP1,26,C3,FALSE,44.694,13,B,CP,CPB13,1,DOA
APC-CP1-26,CP1,26,C4,FALSE,55.627,11,B,CP,CPB11,,
APC-CP1-26,CP1,26,C5,FALSE,9.01,14,D,CP,CPD14,,
APC-CP1-26,CP1,26,C6,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,D1,TRUE,,,,CP,CP,,
APC-CP1-26,CP1,26,D2,FALSE,68.407,16,D,CP,CPD16,1,DOA
APC-CP1-26,CP1,26,D3,FALSE,24.477,18,D,CP,CPD18,,
APC-CP1-26,CP1,26,D4,FALSE,21.414,17,D,CP,CPD17,,
APC-CP1-26,CP1,26,D5,FALSE,34.92,19,D,CP,CPD19,,
APC-CP1-26,CP1,26,D6,TRUE,,,,CP,CP,,
APC-CP2-26,CP2,26,A1,TRUE,,,,CP,CP,,
APC-CP2-26,CP2,26,A2,FALSE,11.399,4,C,CP,CPC4,1,DOA
APC-CP2-26,CP2,26,A3,FALSE,10.772,2,C,CP,CPC2,1,DOA
