Plate,Well,Size,ImageJ_label,Replicate Group,Treatment
APC-CC1-26,A1,NA,NA,,CC
APC-CC1-26,A2,26.815,4,A,CC
APC-CC1-26,A3,57.513,3,A,CC
APC-CC1-26,A4,30.943,2,A,CC
APC-CC1-26,A5,51.399,1,A,CC
APC-CC1-26,A6,NA,NA,,CC
APC-CC1-26,B1,NA,NA,,CC
APC-CC1-26,B2,40.552,8,A,CC
APC-CC1-26,B3,102.812,6,A,CC
APC-CC1-26,B4,61.176,7,A,CC
APC-CC1-26,B5,107.249,5,A,CC
APC-CC1-26,B6,NA,NA,,CC
APC-CC1-26,C1,NA,NA,,CC
APC-CC1-26,C2,69.315,12,B,CC
APC-CC1-26,C3,37.353,11,B,CC
APC-CC1-26,C4,20.508,9,A,CC
APC-CC1-26,C5,67.355,10,A,CC
APC-CC1-26,C6,NA,NA,,CC
APC-CC1-26,D1,NA,NA,,CC
APC-CC1-26,D2,28.66,16,B,CC
APC-CC1-26,D3,66.839,15,B,CC
APC-CC1-26,D4,67.6,14,B,CC
APC-CC1-26,D5,54.482,13,B,CC
APC-CC1-26,D6,NA,NA,,CC
APC-CC2-26,A1,NA,NA,,CC
APC-CC2-26,A2,76.91,4,C,CC
APC-CC2-26,A3,99.158,3,C,CC
APC-CC2-26,A4,59.553,2,C,CC
APC-CC2-26,A5,76.594,1,C,CC
APC-CC2-26,A6,NA,NA,,CC
APC-CC2-26,B1,NA,NA,,CC
APC-CC2-26,B2,59.04,8,C,CC
APC-CC2-26,B3,70.664,6,C,CC
APC-CC2-26,B4,35.884,7,C,CC
APC-CC2-26,B5,37.304,5,C,CC
APC-CC2-26,B6,NA,NA,,CC
APC-CC2-26,C1,NA,NA,,CC
APC-CC2-26,C2,62.63,11,D,CC
APC-CC2-26,C3,37.751,12,D,CC
APC-CC2-26,C4,64.089,10,D,CC
APC-CC2-26,C5,34.057,9,D,CC
APC-CC2-26,C6,NA,NA,,CC
APC-CC2-26,D1,NA,NA,,CC
APC-CC2-26,D2,31.716,16,D,CC
APC-CC2-26,D3,43.327,15,D,CC
APC-CC2-26,D4,63.945,13,D,CC
