1 = alive (sealed or responds to touch); 0 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,,,4HR,"Time Check Started (all plates): 4p, 8/20",,,,,
APC-CC1-26,1,2,3,4,5,6,,APC-CC2-26,1,2,3,4,5,6,,APC-EE1-26,1,2,3,4,5,6,,APC-EE2-26,1,2,3,4,5,6,,APC-CP1-26,1,2,3,4,5,6,,APC-CP2-26,1,2,3,4,5,6,,APC-EP1-26,1,2,3,4,5,6,,APC-EP2-26,1,2,3,4,5,6
A,blank,1,0,1,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,1,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,1,0,blank,,A,blank,0,0,0,1,blank
B,blank,1,0,1,0,blank,,B,blank,0,1,0,0,blank,,B,blank,0,0,0,1,blank,,B,blank,1,1,0,1,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,1,blank,,B,blank,0,0,0,0,blank,,B,blank,1,0,1,0,blank
C,blank,0,0,0,0,blank,,C,blank,1,0,1,1,blank,,C,blank,0,0,1,0,blank,,C,blank,0,1,1,0,blank,,C,blank,0,1,0,0,blank,,C,blank,0,1,0,0,blank,,C,blank,1,0,0,0,blank,,C,blank,0,0,1,1,blank
D,blank,0,0,0,0,blank,,D,blank,0,1,0,1,blank,,D,blank,0,1,0,0,blank,,D,blank,1,0,0,0,blank,,D,blank,1,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,1,0,0,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,,,5HR,"Time Check Started (all plates): 5p, 8/20",,,,,
APC-CC1-26,1,2,3,4,5,6,,APC-CC2-26,1,2,3,4,5,6,,APC-EE1-26,1,2,3,4,5,6,,APC-EE2-26,1,2,3,4,5,6,,APC-CP1-26,1,2,3,4,5,6,,APC-CP2-26,1,2,3,4,5,6,,APC-EP1-26,1,2,3,4,5,6,,APC-EP2-26,1,2,3,4,5,6
A,blank,1,0,1,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,0,0,1,1,blank,,A,blank,0,0,1,1,blank
B,blank,1,0,1,0,blank,,B,blank,0,1,0,0,blank,,B,blank,0,0,0,1,blank,,B,blank,1,1,0,1,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,1,blank,,B,blank,1,0,1,0,blank,,B,blank,1,0,1,0,blank
C,blank,0,0,1,0,blank,,C,blank,1,0,1,1,blank,,C,blank,1,0,1,0,blank,,C,blank,0,1,1,1,blank,,C,blank,0,1,0,0,blank,,C,blank,0,1,1,0,blank,,C,blank,1,0,0,0,blank,,C,blank,0,1,1,1,blank
D,blank,0,0,0,0,blank,,D,blank,0,1,0,1,blank,,D,blank,0,1,0,0,blank,,D,blank,1,0,0,1,blank,,D,blank,1,1,0,0,blank,,D,blank,0,0,0,1,blank,,D,blank,0,0,0,0,blank,,D,blank,1,0,1,0,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,,,6HR,"Time Check Started (all plates): 6p, 8/20",,,,,
APC-CC1-26,1,2,3,4,5,6,,APC-CC2-26,1,2,3,4,5,6,,APC-EE1-26,1,2,3,4,5,6,,APC-EE2-26,1,2,3,4,5,6,,APC-CP1-26,1,2,3,4,5,6,,APC-CP2-26,1,2,3,4,5,6,,APC-EP1-26,1,2,3,4,5,6,,APC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,0,1,0,blank,,A,blank,1,0,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,1,1,blank,,A,blank,0,0,1,1,blank
B,blank,1,0,1,0,blank,,B,blank,1,1,1,1,blank,,B,blank,0,0,1,1,blank,,B,blank,1,1,0,1,blank,,B,blank,1,0,0,0,blank,,B,blank,0,0,0,1,blank,,B,blank,1,1,1,0,blank,,B,blank,1,0,1,0,blank
C,blank,1,0,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,0,1,0,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,0,0,blank,,C,blank,0,1,1,0,blank,,C,blank,1,0,0,0,blank,,C,blank,0,1,1,1,blank
D,blank,1,0,0,0,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,0,blank,,D,blank,0,0,0,1,blank,,D,blank,0,0,0,0,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,,,7HR,"Time Check Started (all plates): 7p, 8/20",,,,,
APC-CC1-26,1,2,3,4,5,6,,APC-CC2-26,1,2,3,4,5,6,,APC-EE1-26,1,2,3,4,5,6,,APC-EE2-26,1,2,3,4,5,6,,APC-CP1-26,1,2,3,4,5,6,,APC-CP2-26,1,2,3,4,5,6,,APC-EP1-26,1,2,3,4,5,6,,APC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,0,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,1,1,blank,,A,blank,0,0,1,1,blank
B,blank,1,0,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,0,1,1,blank,,B,blank,1,1,0,1,blank,,B,blank,1,0,0,0,blank,,B,blank,1,0,0,1,blank,,B,blank,1,1,1,0,blank,,B,blank,1,1,1,0,blank
C,blank,1,0,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,0,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,0,0,blank,,C,blank,0,1,1,0,blank,,C,blank,1,0,0,0,blank,,C,blank,0,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,0,blank,,D,blank,0,0,0,1,blank,,D,blank,0,0,0,0,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,,,8HR,"Time Check Started (all plates): 8p, 8/20",,,,,
APC-CC1-26,1,2,3,4,5,6,,APC-CC2-26,1,2,3,4,5,6,,APC-EE1-26,1,2,3,4,5,6,,APC-EE2-26,1,2,3,4,5,6,,APC-CP1-26,1,2,3,4,5,6,,APC-CP2-26,1,2,3,4,5,6,,APC-EP1-26,1,2,3,4,5,6,,APC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,0,1,1,1,blank,,A,blank,0,0,1,1,blank
B,blank,1,0,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,0,1,1,blank,,B,blank,1,1,0,1,blank,,B,blank,1,1,0,0,blank,,B,blank,1,1,0,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,0,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,0,0,blank,,C,blank,0,1,1,0,blank,,C,blank,1,0,0,0,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,0,blank,,D,blank,0,0,0,1,blank,,D,blank,0,0,0,0,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,,,9HR,"Time Check Started (all plates): 9p, 8/20",,,,,
APC-CC1-26,1,2,3,4,5,6,,APC-CC2-26,1,2,3,4,5,6,,APC-EE1-26,1,2,3,4,5,6,,APC-EE2-26,1,2,3,4,5,6,,APC-CP1-26,1,2,3,4,5,6,,APC-CP2-26,1,2,3,4,5,6,,APC-EP1-26,1,2,3,4,5,6,,APC-EP2-26,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,1,blank,,A,blank,0,0,1,1,blank
B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,0,1,1,blank,,B,blank,1,1,0,1,blank,,B,blank,1,1,0,0,blank,,B,blank,1,1,0,1,blank,,B,blank,1,1,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,0,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,1,blank,,C,blank,0,1,0,0,blank,,C,blank,0,1,1,0,blank,,C,blank,1,0,0,0,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,0,blank,,D,blank,0,1,0,1,blank,,D,blank,1,0,0,0,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
