"PlateID_well","Silo_Replicate","Field_Replicate","Assay_Replicate","Immune_Priming","Heat_Priming","Assay_Temp","4HR","5HR","6HR","7HR","8HR","9HR","10HR","11HR","12HR","14HR","16HR","18HR","20HR","22HR","24HR","25HR"
"APC-CC1-26_A2",1,"A","APC-CC1-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_A3",1,"A","APC-CC1-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_A4",1,"A","APC-CC1-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_A5",1,"A","APC-CC1-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_B2",1,"A","APC-CC1-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_B3",1,"A","APC-CC1-26","No","No","26C",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_B4",1,"A","APC-CC1-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_B5",1,"A","APC-CC1-26","No","No","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_C2",1,"B","APC-CC1-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_C3",1,"B","APC-CC1-26","No","No","26C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"APC-CC1-26_C4",1,"B","APC-CC1-26","No","No","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_C5",1,"B","APC-CC1-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_D2",1,"B","APC-CC1-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_D3",1,"B","APC-CC1-26","No","No","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_D4",1,"B","APC-CC1-26","No","No","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC1-26_D5",1,"B","APC-CC1-26","No","No","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_A2",2,"C","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_A3",2,"C","APC-CC2-26","No","No","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_A4",2,"C","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_A5",2,"C","APC-CC2-26","No","No","26C",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_B2",2,"C","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_B3",2,"C","APC-CC2-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_B4",2,"C","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_B5",2,"C","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_C2",2,"D","APC-CC2-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_C3",2,"D","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_C4",2,"D","APC-CC2-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_C5",2,"D","APC-CC2-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_D2",2,"D","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_D3",2,"D","APC-CC2-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_D4",2,"D","APC-CC2-26","No","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CC2-26_D5",2,"D","APC-CC2-26","No","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_A2",1,"A","APC-EE1-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_A3",1,"A","APC-EE1-26","No","Yes","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_A4",1,"A","APC-EE1-26","No","Yes","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-EE1-26_A5",1,"A","APC-EE1-26","No","Yes","26C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"APC-EE1-26_B2",1,"A","APC-EE1-26","No","Yes","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_B3",1,"A","APC-EE1-26","No","Yes","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-EE1-26_B4",1,"A","APC-EE1-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_B5",1,"A","APC-EE1-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_C2",1,"B","APC-EE1-26","No","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_C3",1,"B","APC-EE1-26","No","Yes","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_C4",1,"B","APC-EE1-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_C5",1,"B","APC-EE1-26","No","Yes","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_D2",1,"B","APC-EE1-26","No","Yes","26C",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"APC-EE1-26_D3",1,"B","APC-EE1-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_D4",1,"B","APC-EE1-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE1-26_D5",1,"B","APC-EE1-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_A2",2,"C","APC-EE2-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_A3",2,"C","APC-EE2-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_A4",2,"C","APC-EE2-26","No","Yes","26C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"APC-EE2-26_A5",2,"C","APC-EE2-26","No","Yes","26C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"APC-EE2-26_B2",2,"C","APC-EE2-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_B3",2,"C","APC-EE2-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_B4",2,"C","APC-EE2-26","No","Yes","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-EE2-26_B5",2,"C","APC-EE2-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_C2",2,"D","APC-EE2-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_C3",2,"D","APC-EE2-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_C4",2,"D","APC-EE2-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_C5",2,"D","APC-EE2-26","No","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_D2",2,"D","APC-EE2-26","No","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_D3",2,"D","APC-EE2-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_D4",2,"D","APC-EE2-26","No","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EE2-26_D5",2,"D","APC-EE2-26","No","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_A2",1,"A","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_A3",1,"A","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-CP1-26_A4",1,"A","APC-CP1-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_A5",1,"A","APC-CP1-26","Yes","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_B2",1,"A","APC-CP1-26","Yes","No","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_B3",1,"A","APC-CP1-26","Yes","No","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_B4",1,"A","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"APC-CP1-26_B5",1,"A","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-CP1-26_C2",1,"B","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-CP1-26_C3",1,"B","APC-CP1-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_C4",1,"B","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"APC-CP1-26_C5",1,"B","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-CP1-26_D2",1,"B","APC-CP1-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_D3",1,"B","APC-CP1-26","Yes","No","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP1-26_D4",1,"B","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-CP1-26_D5",1,"B","APC-CP1-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-CP2-26_A2",2,"C","APC-CP2-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_A3",2,"C","APC-CP2-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_A4",2,"C","APC-CP2-26","Yes","No","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_A5",2,"C","APC-CP2-26","Yes","No","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_B2",2,"C","APC-CP2-26","Yes","No","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_B3",2,"C","APC-CP2-26","Yes","No","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_B4",2,"C","APC-CP2-26","Yes","No","26C",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"APC-CP2-26_B5",2,"C","APC-CP2-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_C2",2,"D","APC-CP2-26","Yes","No","26C",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"APC-CP2-26_C3",2,"D","APC-CP2-26","Yes","No","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_C4",2,"D","APC-CP2-26","Yes","No","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_C5",2,"D","APC-CP2-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"APC-CP2-26_D2",2,"D","APC-CP2-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-CP2-26_D3",2,"D","APC-CP2-26","Yes","No","26C",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"APC-CP2-26_D4",2,"D","APC-CP2-26","Yes","No","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-CP2-26_D5",2,"D","APC-CP2-26","Yes","No","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_A2",1,"A","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_A3",1,"A","APC-EP1-26","Yes","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_A4",1,"A","APC-EP1-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_A5",1,"A","APC-EP1-26","Yes","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_B2",1,"A","APC-EP1-26","Yes","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_B3",1,"A","APC-EP1-26","Yes","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_B4",1,"A","APC-EP1-26","Yes","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_B5",1,"A","APC-EP1-26","Yes","Yes","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_C2",1,"B","APC-EP1-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_C3",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"APC-EP1-26_C4",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"APC-EP1-26_C5",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-EP1-26_D2",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"APC-EP1-26_D3",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-EP1-26_D4",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-EP1-26_D5",1,"B","APC-EP1-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"APC-EP2-26_A2",2,"C","APC-EP2-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"APC-EP2-26_A3",2,"C","APC-EP2-26","Yes","Yes","26C",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"APC-EP2-26_A4",2,"C","APC-EP2-26","Yes","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_A5",2,"C","APC-EP2-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_B2",2,"C","APC-EP2-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_B3",2,"C","APC-EP2-26","Yes","Yes","26C",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_B4",2,"C","APC-EP2-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_B5",2,"C","APC-EP2-26","Yes","Yes","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_C2",2,"D","APC-EP2-26","Yes","Yes","26C",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_C3",2,"D","APC-EP2-26","Yes","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_C4",2,"D","APC-EP2-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_C5",2,"D","APC-EP2-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_D2",2,"D","APC-EP2-26","Yes","Yes","26C",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_D3",2,"D","APC-EP2-26","Yes","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_D4",2,"D","APC-EP2-26","Yes","Yes","26C",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"APC-EP2-26_D5",2,"D","APC-EP2-26","Yes","Yes","26C",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
