1 = alive (0 or responds to touch); 0 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,,,5HR,"Time Check Started (all plates): 7:00p, 8/18",,,,,
LRC-CC1-22,1,2,3,4,5,6,,LRC-CC2-22,1,2,3,4,5,6,,LRC-EE1-22,1,2,3,4,5,6,,LRC-EE2-22,1,2,3,4,5,6,,LRC-CP1-22,1,2,3,4,5,6,,LRC-CP2-22,1,2,3,4,5,6,,LRC-EP1-22,1,2,3,4,5,6,,LRC-EP2-22,1,2,3,4,5,6
A,blank,1,1,0,1,blank,,A,blank,1,0,0,1,blank,,A,blank,1,0,0,1,blank,,A,blank,1,1,1,0,blank,,A,blank,0,1,0,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,0,1,blank,,A,blank,0,0,0,1,blank
B,blank,1,0,1,0,blank,,B,blank,0,1,1,1,blank,,B,blank,1,0,1,1,blank,,B,blank,0,0,0,1,blank,,B,blank,1,1,blank,1,blank,,B,blank,0,0,0,0,blank,,B,blank,1,0,0,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,0,0,1,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,0,0,blank,,C,blank,0,1,1,1,blank,,C,blank,1,1,1,2,blank,,C,blank,0,0,1,0,blank,,C,blank,1,0,1,0,blank,,C,blank,1,0,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,0,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,0,0,1,1,blank,,D,blank,1,0,1,0,blank,,D,blank,1,1,0,1,blank,,D,blank,0,1,1,1,blank,,D,blank,0,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*C5 had 2 -- both dead,,,,,,,,,,,,,,,,,,,,,,,,,
7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,,,7HR,"Time Check Started (all plates): 9:00p, 8/18",,,,,
LRC-CC1-22,1,2,3,4,5,6,,LRC-CC2-22,1,2,3,4,5,6,,LRC-EE1-22,1,2,3,4,5,6,,LRC-EE2-22,1,2,3,4,5,6,,LRC-CP1-22,1,2,3,4,5,6,,LRC-CP2-22,1,2,3,4,5,6,,LRC-EP1-22,1,2,3,4,5,6,,LRC-EP2-22,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,0,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,0,1,blank,,A,blank,0,1,1,1,blank
B,blank,1,0,1,0,blank,,B,blank,0,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,0,1,blank,,B,blank,1,1,blank,1,blank,,B,blank,0,0,0,1,blank,,B,blank,1,0,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,0,0,1,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,0,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,2,blank,,C,blank,0,0,1,1,blank,,C,blank,1,0,1,0,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,0,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,1,0,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,,,8HR,"Time Check Started (all plates): 10:00p, 8/18",,,,,
LRC-CC1-22,1,2,3,4,5,6,,LRC-CC2-22,1,2,3,4,5,6,,LRC-EE1-22,1,2,3,4,5,6,,LRC-EE2-22,1,2,3,4,5,6,,LRC-CP1-22,1,2,3,4,5,6,,LRC-CP2-22,1,2,3,4,5,6,,LRC-EP1-22,1,2,3,4,5,6,,LRC-EP2-22,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,0,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,0,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,0,1,0,blank,,B,blank,0,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,0,1,blank,,B,blank,1,1,blank,1,blank,,B,blank,0,0,0,1,blank,,B,blank,1,0,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,0,0,1,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,0,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,2,blank,,C,blank,0,0,1,1,blank,,C,blank,1,0,1,0,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,0,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,1,0,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,,,9HR,"Time Check Started (all plates): 11:00p, 8/18",,,,,
LRC-CC1-22,1,2,3,4,5,6,,LRC-CC2-22,1,2,3,4,5,6,,LRC-EE1-22,1,2,3,4,5,6,,LRC-EE2-22,1,2,3,4,5,6,,LRC-CP1-22,1,2,3,4,5,6,,LRC-CP2-22,1,2,3,4,5,6,,LRC-EP1-22,1,2,3,4,5,6,,LRC-EP2-22,1,2,3,4,5,6
A,blank,1,1,1,1,blank,,A,blank,1,0,0,1,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,1,1,blank,,A,blank,1,1,1,0,blank,,A,blank,1,1,0,1,blank,,A,blank,1,1,1,1,blank
B,blank,1,0,1,0,blank,,B,blank,0,1,1,1,blank,,B,blank,1,1,1,1,blank,,B,blank,0,1,0,1,blank,,B,blank,1,1,blank,1,blank,,B,blank,0,0,0,1,blank,,B,blank,1,0,1,1,blank,,B,blank,1,1,1,1,blank
C,blank,1,0,0,1,blank,,C,blank,1,1,0,1,blank,,C,blank,1,1,0,0,blank,,C,blank,1,1,1,1,blank,,C,blank,1,1,1,2,blank,,C,blank,0,0,1,1,blank,,C,blank,1,0,1,0,blank,,C,blank,1,1,1,1,blank
D,blank,1,1,1,1,blank,,D,blank,1,0,1,0,blank,,D,blank,1,1,1,1,blank,,D,blank,1,0,1,1,blank,,D,blank,1,1,1,1,blank,,D,blank,1,1,0,1,blank,,D,blank,0,1,1,1,blank,,D,blank,1,1,1,1,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,,,10HR,"Time Check Started (all plates): 12:00a, 8/19",,,,,
