0 = alive (sealed or responds to touch); 1 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,,,4HR,"Time Check Started (all plates): 9p, 8/12",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank,,C,blank,,,,,blank
D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank,,D,blank,,,,,blank
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,,,6HR,"Time Check Started (all plates): 11p, 8/12",,,,,
LR-CC1-30,1,2,3,4,5,6,,LR-CC2-30,1,2,3,4,5,6,,LR-EE1-30,1,2,3,4,5,6,,LR-EE2-30,1,2,3,4,5,6,,LR-CP1-30,1,2,3,4,5,6,,LR-CP2-30,1,2,3,4,5,6,,LR-EP1-30,1,2,3,4,5,6,,LR-EP2-30,1,2,3,4,5,6
A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank,,A,blank,,,,,blank
B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank,,B,blank,,,,,blank
