0 = alive (sealed or responds to touch); 1 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,,,4HR,"Time Check Started (all plates): 6:45p, 9/10",,,
AP-CC1-26,1,2,3,4,,AP-CC2-26,1,2,3,4,,AP-CC3-26,1,2,3,4,,AP-CC4-26,1,2,3,4,,AP-EE1-26,1,2,3,4,,AP-EE2-26,1,2,3,4,,AP-EE3-26,1,2,3,4,,AP-EE4-26,1,2,3,4,,AP-CP1-26,1,2,3,4,,AP-CP2-26,1,2,3,4,,AP-CP3-26,1,2,3,4,,AP-CP4-26,1,2,3,4,,AP-EP1-26,1,2,3,4,,AP-EP2-26,1,2,3,4,,AP-EP3-26,1,2,3,4,,AP-EP4-26,1,2,3,4
A,blank,1,1,1,,A,blank,1,0,1,,A,blank,1,1,0,,A,blank,1,1,0,,A,blank,1,1,0,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,0,1,1,,A,blank,0,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,0,,A,blank,0,1,1,,A,blank,0,0,0,,A,blank,1,0,0
B,blank,1,1,1,,B,blank,1,0,1,,B,blank,0,0,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,0,0,0,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,0,1,0,,B,blank,1,0,1,,B,blank,1,0,1,,B,blank,0,1,1
C,blank,1,1,1,,C,blank,0,1,1,,C,blank,1,0,1,,C,blank,1,0,1,,C,blank,0,0,1,,C,blank,0,0,1,,C,blank,0,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,0,1,,C,blank,1,1,1,,C,blank,1,0,1,,C,blank,0,0,1
"23.4, 24.3, 24.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,,,6.25HR,"Time Check Started (all plates): 9p, 9/10",,,
AP-CC1-26,1,2,3,4,,AP-CC2-26,1,2,3,4,,AP-CC3-26,1,2,3,4,,AP-CC4-26,1,2,3,4,,AP-EE1-26,1,2,3,4,,AP-EE2-26,1,2,3,4,,AP-EE3-26,1,2,3,4,,AP-EE4-26,1,2,3,4,,AP-CP1-26,1,2,3,4,,AP-CP2-26,1,2,3,4,,AP-CP3-26,1,2,3,4,,AP-CP4-26,1,2,3,4,,AP-EP1-26,1,2,3,4,,AP-EP2-26,1,2,3,4,,AP-EP3-26,1,2,3,4,,AP-EP4-26,1,2,3,4
A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,0,1,1,,A,blank,1,1,1,,A,blank,1,1,1
B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1
C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,0,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1
"24.3, 24.5, 24.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,,,7.25HR,"Time Check Started (all plates): 10p, 9/10",,,
AP-CC1-26,1,2,3,4,,AP-CC2-26,1,2,3,4,,AP-CC3-26,1,2,3,4,,AP-CC4-26,1,2,3,4,,AP-EE1-26,1,2,3,4,,AP-EE2-26,1,2,3,4,,AP-EE3-26,1,2,3,4,,AP-EE4-26,1,2,3,4,,AP-CP1-26,1,2,3,4,,AP-CP2-26,1,2,3,4,,AP-CP3-26,1,2,3,4,,AP-CP4-26,1,2,3,4,,AP-EP1-26,1,2,3,4,,AP-EP2-26,1,2,3,4,,AP-EP3-26,1,2,3,4,,AP-EP4-26,1,2,3,4
A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,0,1,1,,A,blank,1,1,1,,A,blank,1,1,1
B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1
C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,0,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1
"25.5, 25.2, 25.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,,,8.5HR,"Time Check Started (all plates): 11:15p, 9/10",,,
AP-CC1-26,1,2,3,4,,AP-CC2-26,1,2,3,4,,AP-CC3-26,1,2,3,4,,AP-CC4-26,1,2,3,4,,AP-EE1-26,1,2,3,4,,AP-EE2-26,1,2,3,4,,AP-EE3-26,1,2,3,4,,AP-EE4-26,1,2,3,4,,AP-CP1-26,1,2,3,4,,AP-CP2-26,1,2,3,4,,AP-CP3-26,1,2,3,4,,AP-CP4-26,1,2,3,4,,AP-EP1-26,1,2,3,4,,AP-EP2-26,1,2,3,4,,AP-EP3-26,1,2,3,4,,AP-EP4-26,1,2,3,4
A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1,,A,blank,1,1,1
B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1,,B,blank,1,1,1
C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1,,C,blank,1,1,1
"23.9, 24.8, 24.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
