"PlateID_well","Silo_Replicate","Field_Replicate","Assay_Replicate","Immune_Priming","Heat_Priming","Assay_Temp","4HR","6.25HR","7.25HR","8.5HR"
"AP-CC1-26_A2",1,"A","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_A3",1,"A","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_A4",1,"A","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_B2",1,"B","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_B3",1,"B","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_B4",1,"B","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_C2",1,"C","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_C3",1,"C","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC1-26_C4",1,"C","AP-CC1-26","No","No","26C",1,1,1,1
"AP-CC2-26_A2",2,"A","AP-CC2-26","No","No","26C",1,1,1,1
"AP-CC2-26_A3",2,"A","AP-CC2-26","No","No","26C",0,1,1,1
"AP-CC2-26_A4",2,"A","AP-CC2-26","No","No","26C",1,1,1,1
"AP-CC2-26_B2",2,"B","AP-CC2-26","No","No","26C",1,1,1,1
"AP-CC2-26_B3",2,"B","AP-CC2-26","No","No","26C",0,1,1,1
"AP-CC2-26_B4",2,"B","AP-CC2-26","No","No","26C",1,1,1,1
"AP-CC2-26_C2",2,"C","AP-CC2-26","No","No","26C",0,1,1,1
"AP-CC2-26_C3",2,"C","AP-CC2-26","No","No","26C",1,1,1,1
"AP-CC2-26_C4",2,"C","AP-CC2-26","No","No","26C",1,1,1,1
"AP-CC3-26_A2",3,"A","AP-CC3-26","No","No","26C",1,1,1,1
"AP-CC3-26_A3",3,"A","AP-CC3-26","No","No","26C",1,1,1,1
"AP-CC3-26_A4",3,"A","AP-CC3-26","No","No","26C",0,1,1,1
"AP-CC3-26_B2",3,"B","AP-CC3-26","No","No","26C",0,1,1,1
"AP-CC3-26_B3",3,"B","AP-CC3-26","No","No","26C",0,1,1,1
"AP-CC3-26_B4",3,"B","AP-CC3-26","No","No","26C",1,1,1,1
"AP-CC3-26_C2",3,"C","AP-CC3-26","No","No","26C",1,1,1,1
"AP-CC3-26_C3",3,"C","AP-CC3-26","No","No","26C",0,0,0,1
"AP-CC3-26_C4",3,"C","AP-CC3-26","No","No","26C",1,1,1,1
"AP-CC4-26_A2",4,"A","AP-CC4-26","No","No","26C",1,1,1,1
"AP-CC4-26_A3",4,"A","AP-CC4-26","No","No","26C",1,1,1,1
"AP-CC4-26_A4",4,"A","AP-CC4-26","No","No","26C",0,1,1,1
"AP-CC4-26_B2",4,"B","AP-CC4-26","No","No","26C",1,1,1,1
"AP-CC4-26_B3",4,"B","AP-CC4-26","No","No","26C",1,1,1,1
"AP-CC4-26_B4",4,"B","AP-CC4-26","No","No","26C",1,1,1,1
"AP-CC4-26_C2",4,"C","AP-CC4-26","No","No","26C",1,1,1,1
"AP-CC4-26_C3",4,"C","AP-CC4-26","No","No","26C",0,1,1,1
"AP-CC4-26_C4",4,"C","AP-CC4-26","No","No","26C",1,1,1,1
"AP-EE1-26_A2",1,"A","AP-EE1-26","No","Yes","26C",1,1,1,1
"AP-EE1-26_A3",1,"A","AP-EE1-26","No","Yes","26C",1,1,1,1
"AP-EE1-26_A4",1,"A","AP-EE1-26","No","Yes","26C",0,1,1,1
"AP-EE1-26_B2",1,"B","AP-EE1-26","No","Yes","26C",1,1,1,1
"AP-EE1-26_B3",1,"B","AP-EE1-26","No","Yes","26C",1,1,1,1
"AP-EE1-26_B4",1,"B","AP-EE1-26","No","Yes","26C",1,1,1,1
"AP-EE1-26_C2",1,"C","AP-EE1-26","No","Yes","26C",0,1,1,1
"AP-EE1-26_C3",1,"C","AP-EE1-26","No","Yes","26C",0,1,1,1
"AP-EE1-26_C4",1,"C","AP-EE1-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_A2",2,"A","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_A3",2,"A","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_A4",2,"A","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_B2",2,"B","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_B3",2,"B","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_B4",2,"B","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE2-26_C2",2,"C","AP-EE2-26","No","Yes","26C",0,1,1,1
"AP-EE2-26_C3",2,"C","AP-EE2-26","No","Yes","26C",0,1,1,1
"AP-EE2-26_C4",2,"C","AP-EE2-26","No","Yes","26C",1,1,1,1
"AP-EE3-26_A2",3,"A","AP-EE3-26","No","Yes","26C",1,1,1,1
"AP-EE3-26_A3",3,"A","AP-EE3-26","No","Yes","26C",1,1,1,1
"AP-EE3-26_A4",3,"A","AP-EE3-26","No","Yes","26C",1,1,1,1
