"PlateID_well","Silo_Replicate","Field_Replicate","Assay_Replicate","Immune_Priming","Heat_Priming","Assay_Temp","4.5HR","7.5HR","10HR","13HR","16HR","19HR","22HR","25HR","27.5HR","31.5HR"
"AP-CC1-35_A2",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,1,1,1,1,1
"AP-CC1-35_A3",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,0,0,1
"AP-CC1-35_A4",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,0,1,1,1,1
"AP-CC1-35_A5",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,0,1,1
"AP-CC1-35_B2",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,0,1,1
"AP-CC1-35_B3",1,"A","AP-CC1-35","No","No","35C",1,1,1,1,1,1,1,1,1,1
"AP-CC1-35_B4",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,1,1,1,1,1
"AP-CC1-35_B5",1,"A","AP-CC1-35","No","No","35C",0,0,0,0,0,0,1,1,1,1
"AP-CC1-35_C2",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,1,1,1
"AP-CC1-35_C3",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,1,1,1
"AP-CC1-35_C4",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,0,1,1
"AP-CC1-35_C5",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,1,1,1
"AP-CC1-35_D2",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,0,1,1
"AP-CC1-35_D3",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,1,1,1
"AP-CC1-35_D4",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,1,1,1,1,1
"AP-CC1-35_D5",1,"B","AP-CC1-35","No","No","35C",0,0,0,0,0,0,0,0,0,1
"AP-CC2-35_A2",2,"C","AP-CC2-35","No","No","35C",0,1,1,1,1,1,1,1,1,1
"AP-CC2-35_A3",2,"C","AP-CC2-35","No","No","35C",0,0,0,0,0,0,1,1,1,1
"AP-CC2-35_A4",2,"C","AP-CC2-35","No","No","35C",0,0,0,0,0,1,1,1,1,1
"AP-CC2-35_A5",2,"C","AP-CC2-35","No","No","35C",0,0,0,0,0,0,0,0,1,1
