0 = alive (sealed or responds to touch); 1 = dead (gaped and unresponsive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,,,4.5HR,"Time Check Started (all plates): 7:15p, 9/9",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,1,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank
C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank,,C,blank,0,0,0,0,blank
D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank,,D,blank,0,0,0,0,blank
"temps: 37.5, 38.5, 37.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,,,7.5HR,"Time Check Started (all plates): 10:15p, 9/9",,,,,
AP-CC1-40,1,2,3,4,5,6,,AP-CC2-40,1,2,3,4,5,6,,AP-EE1-40,1,2,3,4,5,6,,AP-EE2-40,1,2,3,4,5,6,,AP-CP1-40,1,2,3,4,5,6,,AP-CP2-40,1,2,3,4,5,6,,AP-EP1-40,1,2,3,4,5,6,,AP-EP2-40,1,2,3,4,5,6
A,blank,0,0,0,0,blank,,A,blank,1,0,0,0,blank,,A,blank,1,1,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,1,blank,,A,blank,1,0,0,0,blank,,A,blank,0,0,0,0,blank,,A,blank,0,0,0,0,blank
B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank,,B,blank,0,0,0,0,blank
