sample_id,treatment,rep_group,plate_id,well_id,AUC,n_timepoints
APC-CC1_A2,CC,A,APC-CC1-26,A2,0.08788845814718259,9
APC-CC1_A3,CC,A,APC-CC1-26,A3,0.0522027905786098,9
APC-CC1_A4,CC,A,APC-CC1-26,A4,0.06893935675027685,9
APC-CC1_A5,CC,A,APC-CC1-26,A5,0.035126758358477284,9
APC-CC1_B2,CC,A,APC-CC1-26,B2,0.07256249040950609,9
APC-CC1_B3,CC,A,APC-CC1-26,B3,0.02461968858506304,9
APC-CC1_B4,CC,A,APC-CC1-26,B4,0.03725235094384888,9
APC-CC1_B5,CC,A,APC-CC1-26,B5,0.017753297631770106,9
APC-CC1_C2,CC,B,APC-CC1-26,C2,0.03413497238219499,9
APC-CC1_C3,CC,B,APC-CC1-26,C3,0.058673813241953005,9
APC-CC1_C4,CC,A,APC-CC1-26,C4,0.12330412993830742,9
APC-CC1_C5,CC,A,APC-CC1-26,C5,0.03378350486604213,9
APC-CC1_D2,CC,B,APC-CC1-26,D2,0.06481878266785801,9
APC-CC1_D3,CC,B,APC-CC1-26,D3,0.041946985224024236,9
APC-CC1_D4,CC,B,APC-CC1-26,D4,0.0717005484901225,9
APC-CC1_D5,CC,B,APC-CC1-26,D5,0.0399259171864569,9
APC-CC2_A2,CC,C,APC-CC2-26,A2,0.028383469493699638,9
APC-CC2_A3,CC,C,APC-CC2-26,A3,0.01457305208699819,9
APC-CC2_A4,CC,C,APC-CC2-26,A4,0.029498800203503667,9
APC-CC2_A5,CC,C,APC-CC2-26,A5,0.030505693085547788,9
APC-CC2_B2,CC,C,APC-CC2-26,B2,0.02124131900376186,9
APC-CC2_B3,CC,C,APC-CC2-26,B3,0.015574317793950975,9
APC-CC2_B4,CC,C,APC-CC2-26,B4,0.014697962394070594,9
APC-CC2_B5,CC,C,APC-CC2-26,B5,0.0169909839882354,9
APC-CC2_C2,CC,D,APC-CC2-26,C2,0.032748096832465504,9
APC-CC2_C3,CC,D,APC-CC2-26,C3,0.0245806590431276,9
APC-CC2_C4,CC,D,APC-CC2-26,C4,0.13884027582733768,9
APC-CC2_C5,CC,D,APC-CC2-26,C5,0.0847842395150035,9
APC-CC2_D2,CC,D,APC-CC2-26,D2,0.038341429194355875,9
APC-CC2_D3,CC,D,APC-CC2-26,D3,1.333581969841005,9
APC-CC2_D4,CC,D,APC-CC2-26,D4,0.021363887363055018,9
APC-CC2_D5,CC,D,APC-CC2-26,D5,0.17581394859837252,9
APC-CP1_A2,CP,A,APC-CP1-26,A2,0.032145251299803695,9
APC-CP1_A3,CP,A,APC-CP1-26,A3,0.023196618851672596,9
APC-CP1_A4,CP,A,APC-CP1-26,A4,0.045882986967010174,9
APC-CP1_A5,CP,A,APC-CP1-26,A5,0.015827721744510297,9
APC-CP1_B2,CP,A,APC-CP1-26,B2,0.02266460225961741,9
APC-CP1_B3,CP,A,APC-CP1-26,B3,0.005374667411932573,9
APC-CP1_B4,CP,A,APC-CP1-26,B4,0.3190117164465214,9
APC-CP1_B5,CP,D,APC-CP1-26,B5,0.014677600097894861,9
APC-CP1_C2,CP,B,APC-CP1-26,C2,0.013483369300916422,9
APC-CP1_C3,CP,B,APC-CP1-26,C3,0.8557548249481141,9
APC-CP1_C4,CP,B,APC-CP1-26,C4,0.011584534183530917,9
APC-CP1_C5,CP,D,APC-CP1-26,C5,0.058414086313088455,9
APC-CP1_D2,CP,D,APC-CP1-26,D2,0.12713216004995367,9
APC-CP1_D3,CP,D,APC-CP1-26,D3,0.029295377626962243,9
APC-CP1_D4,CP,D,APC-CP1-26,D4,0.025255373142832032,9
APC-CP1_D5,CP,D,APC-CP1-26,D5,0.02091015740823491,9
APC-CP2_A2,CP,C,APC-CP2-26,A2,0.0033350057786200983,9
APC-CP2_A3,CP,C,APC-CP2-26,A3,0.027114873165694477,9
APC-CP2_A4,CP,C,APC-CP2-26,A4,0.058183724871975075,9
APC-CP2_A5,CP,C,APC-CP2-26,A5,0.025958419456896725,9
APC-CP2_B2,CP,C,APC-CP2-26,B2,0.09730793066463214,9
APC-CP2_B3,CP,C,APC-CP2-26,B3,0.01608392258283541,9
APC-CP2_B4,CP,C,APC-CP2-26,B4,0.01195624882446343,9
APC-CP2_B5,CP,C,APC-CP2-26,B5,0.024482717762351697,9
APC-CP2_C2,CP,D,APC-CP2-26,C2,0.008336370629429093,9
APC-CP2_C3,CP,D,APC-CP2-26,C3,0.10910938717506119,9
APC-CP2_C4,CP,D,APC-CP2-26,C4,0.07032088905091181,9
APC-CP2_C5,CP,D,APC-CP2-26,C5,0.014369002488591985,9
APC-CP2_D2,CP,D,APC-CP2-26,D2,0.02349080316941365,9
APC-CP2_D3,CP,D,APC-CP2-26,D3,0.021945811241104805,9
APC-CP2_D4,CP,D,APC-CP2-26,D4,0.016245880025063976,9
APC-CP2_D5,CP,D,APC-CP2-26,D5,0.2108939330143858,9
APC-EE1_A2,EE,A,APC-EE1-26,A2,0.04699304622794741,9
APC-EE1_A3,EE,A,APC-EE1-26,A3,0.4850385345042134,9
APC-EE1_A4,EE,A,APC-EE1-26,A4,0.024527738575522838,9
APC-EE1_A5,EE,A,APC-EE1-26,A5,0.02360022971639477,9
APC-EE1_B2,EE,A,APC-EE1-26,B2,0.02457581792546582,9
APC-EE1_B3,EE,A,APC-EE1-26,B3,0.03592639543836597,9
APC-EE1_B4,EE,A,APC-EE1-26,B4,0.017221773869482145,9
APC-EE1_B5,EE,A,APC-EE1-26,B5,0.044857704783426655,9
APC-EE1_C2,EE,A,APC-EE1-26,C2,0.04269584509577558,9
APC-EE1_C3,EE,A,APC-EE1-26,C3,0.018502390417368158,9
APC-EE1_C4,EE,A,APC-EE1-26,C4,0.01602426836689612,9
APC-EE1_C5,EE,B,APC-EE1-26,C5,0.05794360787673514,9
APC-EE1_D2,EE,C,APC-EE1-26,D2,0.028397843396950978,9
APC-EE1_D3,EE,C,APC-EE1-26,D3,0.03913532075812805,9
APC-EE1_D4,EE,C,APC-EE1-26,D4,0.034833364977478874,9
APC-EE1_D5,EE,C,APC-EE1-26,D5,0.029450012036168025,9
APC-EE2_A2,EE,C,APC-EE2-26,A2,0.03275124773558036,9
APC-EE2_A3,EE,C,APC-EE2-26,A3,0.030081794651277964,9
APC-EE2_A4,EE,C,APC-EE2-26,A4,0.04886270899454408,9
APC-EE2_A5,EE,C,APC-EE2-26,A5,0.027077996750174027,9
APC-EE2_B2,EE,C,APC-EE2-26,B2,0.04773648920929545,9
APC-EE2_B3,EE,C,APC-EE2-26,B3,0.030800541737899673,9
APC-EE2_B4,EE,C,APC-EE2-26,B4,0.031156037871672863,9
APC-EE2_B5,EE,C,APC-EE2-26,B5,0.08305911570936236,9
APC-EE2_C2,EE,D,APC-EE2-26,C2,0.027066373930073537,9
APC-EE2_C3,EE,D,APC-EE2-26,C3,0.1182128093333296,9
APC-EE2_C4,EE,D,APC-EE2-26,C4,0.11953760379267422,9
APC-EE2_C5,EE,D,APC-EE2-26,C5,0.04616379645374741,9
APC-EE2_D2,EE,D,APC-EE2-26,D2,0.0406332186960568,9
APC-EE2_D3,EE,D,APC-EE2-26,D3,0.0295275707830192,9
APC-EE2_D4,EE,D,APC-EE2-26,D4,0.032067036889592095,9
