contrast,timepoint,estimate,SE,df,t.ratio,p.value
CC - EE,0,-1.5238642424337445e-15,0.01835561857992245,313.02094181308865,-8.301895334110732e-14,1
CC - CP,0,-2.4622901101789965e-15,0.01835561857992245,313.0209418130816,-1.3414367374533882e-13,1
CC - EP,0,-2.088167751258137e-15,0.01835561857992238,313.02094181311696,-1.1376177502087576e-13,1
EE - CP,0,-9.38425867745252e-16,0.018355618579922794,313.02094181301095,-5.112472040423054e-14,1
EE - EP,0,-5.643035088243928e-16,0.018355618579922718,313.02094181301095,-3.074282167976758e-14,1
CP - EP,0,3.741223589208592e-16,0.01835561857992272,313.02094181301095,2.038189872446316e-14,1
CC - EE,1,0.002578774614762433,0.01835561857992262,313.02094181308865,0.14048966007514982,0.9990090902745392
CC - CP,1,0.0034790571303725064,0.01835561857992262,313.02094181308865,0.1895363599556323,0.9975816262755595
CC - EP,1,-0.00689429029926608,0.018355618579922597,313.02094181308865,-0.3755956395175407,0.9819096209284308
EE - CP,1,9.002825156100734e-4,0.01835561857992275,313.02094181303215,0.049046699880482166,0.9999575597989339
EE - EP,1,-0.009473064914028512,0.01835561857992272,313.02094181304625,-0.5160852995926871,0.9552074139154745
CP - EP,1,-0.010373347429638587,0.01835561857992273,313.02094181304625,-0.5651319994731693,0.9423251073275416
CC - EE,2,0.005770544434168118,0.018355618579922628,313.02094181308865,0.3143748280147823,0.9892228369573031
CC - CP,2,0.007083632496316118,0.018355618579922624,313.02094181308865,0.3859108569658445,0.980435387582086
CC - EP,2,-0.01839952495963553,0.018355618579922593,313.02094181308865,-1.0023919858392003,0.7481140299249366
EE - CP,2,0.0013130880621479999,0.018355618579922746,313.0209418130392,0.07153602895106172,0.9998684542552886
EE - EP,2,-0.024170069393803652,0.018355618579922715,313.02094181304625,-1.3167668138539748,0.5529210886006062
CP - EP,2,-0.02548315745595165,0.01835561857992272,313.02094181304625,-1.388302842805036,0.5076166325319514
CC - EE,3,0.010099502467395164,0.01835561857992263,313.02094181308865,0.5502131362896152,0.9464457018457746
