row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,fieldrep_id,treatment_group,sample_id_group,area_mm2_measurement,sample_key,value_t0,fold_change,trace_id,mean_blank_rfu,mean_blank_fc,corrected_fc,metabolism_per_area_mm2_measurement
A,3,A3,642,apc-cc1-26,0,FALSE,FALSE,NA,A,cc,cca3,57.513,cca3,642,1,cca3,157.5,0.9540937056318031,0.04590629436819693,7.981898765182991e-4
A,5,A5,1104,apc-cc1-26,0,FALSE,FALSE,NA,A,cc,cca1,51.399,cca1,1104,1,cca1,157.5,0.9540937056318031,0.04590629436819693,8.931359436603228e-4
B,3,B3,697,apc-cc1-26,0,FALSE,FALSE,NA,A,cc,cca6,102.812,cca6,697,1,cca6,157.5,0.9540937056318031,0.04590629436819693,4.465071622786925e-4
B,5,B5,1391,apc-cc1-26,0,FALSE,FALSE,NA,A,cc,cca5,107.249,cca5,1391,1,cca5,157.5,0.9540937056318031,0.04590629436819693,4.2803470771939073e-4
C,2,C2,723,apc-cc1-26,0,FALSE,FALSE,NA,B,cc,ccb12,69.315,ccb12,723,1,ccb12,157.5,0.9540937056318031,0.04590629436819693,6.622851384000134e-4
C,3,C3,520,apc-cc1-26,0,FALSE,FALSE,NA,B,cc,ccb11,37.353,ccb11,520,1,ccb11,157.5,0.9540937056318031,0.04590629436819693,0.001228985472872244
C,4,C4,389,apc-cc1-26,0,FALSE,FALSE,NA,A,cc,cca9,20.508,cca9,389,1,cca9,157.5,0.9540937056318031,0.04590629436819693,0.002238457888053293
C,5,C5,314,apc-cc1-26,0,FALSE,FALSE,NA,A,cc,cca10,67.355,cca10,314,1,cca10,157.5,0.9540937056318031,0.04590629436819693,6.815573360284601e-4
D,2,D2,355,apc-cc1-26,0,FALSE,FALSE,NA,B,cc,ccb16,28.66,ccb16,355,1,ccb16,157.5,0.9540937056318031,0.04590629436819693,0.001601754862812175
D,3,D3,734,apc-cc1-26,0,FALSE,FALSE,NA,B,cc,ccb15,66.839,ccb15,734,1,ccb15,157.5,0.9540937056318031,0.04590629436819693,6.868189884378422e-4
D,4,D4,619,apc-cc1-26,0,FALSE,FALSE,NA,B,cc,ccb14,67.6,ccb14,619,1,ccb14,157.5,0.9540937056318031,0.04590629436819693,6.790871947958126e-4
D,5,D5,275,apc-cc1-26,0,FALSE,FALSE,NA,B,cc,ccb13,54.482,ccb13,275,1,ccb13,157.5,0.9540937056318031,0.04590629436819693,8.425956163172595e-4
A,3,A3,762,apc-cc1-26,1,FALSE,FALSE,NA,A,cc,cca3,57.513,cca3,642,1.1869158878504673,cca3,158.75,0.9616658778987222,0.22525000995174516,0.003916506006498447
A,5,A5,1229,apc-cc1-26,1,FALSE,FALSE,NA,A,cc,cca1,51.399,cca1,1104,1.1132246376811594,cca1,158.75,0.9616658778987222,0.15155875978243727,0.002948671370696653
B,3,B3,777,apc-cc1-26,1,FALSE,FALSE,NA,A,cc,cca6,102.812,cca6,697,1.114777618364419,cca6,158.75,0.9616658778987222,0.15311174046569676,0.001489239976517301
B,5,B5,1514,apc-cc1-26,1,FALSE,FALSE,NA,A,cc,cca5,107.249,cca5,1391,1.0884255930984903,cca5,158.75,0.9616658778987222,0.12675971519976814,0.0011819197866625158
C,2,C2,779,apc-cc1-26,1,FALSE,FALSE,NA,B,cc,ccb12,69.315,ccb12,723,1.0774550484094052,ccb12,158.75,0.9616658778987222,0.11578917051068305,0.00167047782602154
C,3,C3,550,apc-cc1-26,1,FALSE,FALSE,NA,B,cc,ccb11,37.353,ccb11,520,1.0576923076923077,ccb11,158.75,0.9616658778987222,0.09602642979358555,0.002570782260958572
C,4,C4,428,apc-cc1-26,1,FALSE,FALSE,NA,A,cc,cca9,20.508,cca9,389,1.1002570694087404,cca9,158.75,0.9616658778987222,0.1385911915100182,0.006757908694656632
C,5,C5,336,apc-cc1-26,1,FALSE,FALSE,NA,A,cc,cca10,67.355,cca10,314,1.070063694267516,cca10,158.75,0.9616658778987222,0.10839781636879375,0.0016093506995589599
D,2,D2,381,apc-cc1-26,1,FALSE,FALSE,NA,B,cc,ccb16,28.66,ccb16,355,1.0732394366197182,ccb16,158.75,0.9616658778987222,0.11157355872099606,0.003893006235903561
D,3,D3,860,apc-cc1-26,1,FALSE,FALSE,NA,B,cc,ccb15,66.839,ccb15,734,1.1716621253405994,ccb15,158.75,0.9616658778987222,0.20999624744187728,0.0031418221014957925
D,4,D4,677,apc-cc1-26,1,FALSE,FALSE,NA,B,cc,ccb14,67.6,ccb14,619,1.0936995153473343,ccb14,158.75,0.9616658778987222,0.13203363744861218,0.0019531603172871625
D,5,D5,298,apc-cc1-26,1,FALSE,FALSE,NA,B,cc,ccb13,54.482,ccb13,275,1.0836363636363637,ccb13,158.75,0.9616658778987222,0.12197048573764158,0.0022387299610447777
A,3,A3,898,apc-cc1-26,2,FALSE,FALSE,NA,A,cc,cca3,57.513,cca3,642,1.398753894080997,cca3,161.625,0.979081874112636,0.4196720199683609,0.007296994070355588
A,5,A5,1315,apc-cc1-26,2,FALSE,FALSE,NA,A,cc,cca1,51.399,cca1,1104,1.1911231884057971,cca1,161.625,0.979081874112636,0.2120413142931611,0.004125397659354484
B,3,B3,916,apc-cc1-26,2,FALSE,FALSE,NA,A,cc,cca6,102.812,cca6,697,1.3142037302725968,cca6,161.625,0.979081874112636,0.3351218561599608,0.003259559741664016
B,5,B5,1724,apc-cc1-26,2,FALSE,FALSE,NA,A,cc,cca5,107.249,cca5,1391,1.2393961179007909,cca5,161.625,0.979081874112636,0.2603142437881548,0.002427195067442632
C,2,C2,914,apc-cc1-26,2,FALSE,FALSE,NA,B,cc,ccb12,69.315,ccb12,723,1.26417704011065,ccb12,161.625,0.979081874112636,0.285095165998014,0.004113037091509976
C,3,C3,673,apc-cc1-26,2,FALSE,FALSE,NA,B,cc,ccb11,37.353,ccb11,520,1.2942307692307693,ccb11,161.625,0.979081874112636,0.31514889511813327,0.008437043747975617
C,4,C4,490,apc-cc1-26,2,FALSE,FALSE,NA,A,cc,cca9,20.508,cca9,389,1.2596401028277635,cca9,161.625,0.979081874112636,0.2805582287151275,0.01368042855057185
C,5,C5,402,apc-cc1-26,2,FALSE,FALSE,NA,A,cc,cca10,67.355,cca10,314,1.2802547770700636,cca10,161.625,0.979081874112636,0.3011729029574276,0.0044714260701867355
D,2,D2,427,apc-cc1-26,2,FALSE,FALSE,NA,B,cc,ccb16,28.66,ccb16,355,1.2028169014084507,ccb16,161.625,0.979081874112636,0.22373502729581463,0.007806525725604139
D,3,D3,1012,apc-cc1-26,2,FALSE,FALSE,NA,B,cc,ccb15,66.839,ccb15,734,1.3787465940054495,ccb15,161.625,0.979081874112636,0.3996647198928135,0.0059795137553346625
D,4,D4,833,apc-cc1-26,2,FALSE,FALSE,NA,B,cc,ccb14,67.6,ccb14,619,1.345718901453958,ccb14,161.625,0.979081874112636,0.36663702734132186,0.005423624664812454
D,5,D5,342,apc-cc1-26,2,FALSE,FALSE,NA,B,cc,ccb13,54.482,ccb13,275,1.2436363636363637,ccb13,161.625,0.979081874112636,0.2645544895237276,0.00485581457222069
A,3,A3,1071,apc-cc1-26,3,FALSE,FALSE,NA,A,cc,cca3,57.513,cca3,642,1.6682242990654206,cca3,163.875,0.9927117841930904,0.6755125148723302,0.011745388257825713
A,5,A5,1482,apc-cc1-26,3,FALSE,FALSE,NA,A,cc,cca1,51.399,cca1,1104,1.3423913043478262,cca1,163.875,0.9927117841930904,0.3496795201547358,0.006803235863630339
B,3,B3,1039,apc-cc1-26,3,FALSE,FALSE,NA,A,cc,cca6,102.812,cca6,697,1.490674318507891,cca6,163.875,0.9927117841930904,0.49796253431480064,0.004843428143745872
B,5,B5,1904,apc-cc1-26,3,FALSE,FALSE,NA,A,cc,cca5,107.249,cca5,1391,1.3687994248741913,cca5,163.875,0.9927117841930904,0.3760876406811009,0.0035066773646476976
C,2,C2,1105,apc-cc1-26,3,FALSE,FALSE,NA,B,cc,ccb12,69.315,ccb12,723,1.5283540802213,ccb12,163.875,0.9927117841930904,0.5356422960282097,0.007727653408760148
C,3,C3,764,apc-cc1-26,3,FALSE,FALSE,NA,B,cc,ccb11,37.353,ccb11,520,1.4692307692307693,ccb11,163.875,0.9927117841930904,0.476518985037679,0.012757181084188123
C,4,C4,558,apc-cc1-26,3,FALSE,FALSE,NA,A,cc,cca9,20.508,cca9,389,1.4344473007712082,cca9,163.875,0.9927117841930904,0.4417355165781178,0.021539668255223222
C,5,C5,450,apc-cc1-26,3,FALSE,FALSE,NA,A,cc,cca10,67.355,cca10,314,1.4331210191082802,cca10,163.875,0.9927117841930904,0.4404092349151898,0.006538627197909432
D,2,D2,490,apc-cc1-26,3,FALSE,FALSE,NA,B,cc,ccb16,28.66,ccb16,355,1.380281690140845,ccb16,163.875,0.9927117841930904,0.38756990594775464,0.0135230253296495
D,3,D3,1128,apc-cc1-26,3,FALSE,FALSE,NA,B,cc,ccb15,66.839,ccb15,734,1.5367847411444142,ccb15,163.875,0.9927117841930904,0.5440729569513238,0.008140052319025178
D,4,D4,962,apc-cc1-26,3,FALSE,FALSE,NA,B,cc,ccb14,67.6,ccb14,619,1.554119547657512,ccb14,163.875,0.9927117841930904,0.5614077634644217,0.0083048485719589
D,5,D5,394,apc-cc1-26,3,FALSE,FALSE,NA,B,cc,ccb13,54.482,ccb13,275,1.4327272727272726,ccb13,163.875,0.9927117841930904,0.44001548853418226,0.008076346105763046
A,3,A3,1171,apc-cc1-26,4,FALSE,FALSE,NA,A,cc,cca3,57.513,cca3,642,1.82398753894081,cca3,164.625,0.9972550875532419,0.8267324513875681,0.014374705742833241
A,5,A5,1641,apc-cc1-26,4,FALSE,FALSE,NA,A,cc,cca1,51.399,cca1,1104,1.486413043478261,cca1,164.625,0.9972550875532419,0.4891579559250191,0.009516876902761125
B,3,B3,1173,apc-cc1-26,4,FALSE,FALSE,NA,A,cc,cca6,102.812,cca6,697,1.6829268292682926,cca6,164.625,0.9972550875532419,0.6856717417150507,0.006669180073484134
B,5,B5,2103,apc-cc1-26,4,FALSE,FALSE,NA,A,cc,cca5,107.249,cca5,1391,1.511861969805895,cca5,164.625,0.9972550875532419,0.5146068822526532,0.004798244107195901
C,2,C2,1123,apc-cc1-26,4,FALSE,FALSE,NA,B,cc,ccb12,69.315,ccb12,723,1.5532503457814661,ccb12,164.625,0.9972550875532419,0.5559952582282243,0.008021283390726745
C,3,C3,822,apc-cc1-26,4,FALSE,FALSE,NA,B,cc,ccb11,37.353,ccb11,520,1.5807692307692307,ccb11,164.625,0.9972550875532419,0.5835141432159888,0.015621613878831387
C,4,C4,613,apc-cc1-26,4,FALSE,FALSE,NA,A,cc,cca9,20.508,cca9,389,1.575835475578406,cca9,164.625,0.9972550875532419,0.5785803880251642,0.028212423835828174
